feature,domain_auc,is_DI
n_lanes_norm,1.0,True
payoff_lc_max,0.9071,False
payoff_gap,0.8968,False
lane_id,0.8757,False
stackelberg_lc_payoff,0.8299,False
stackelberg_advantage,0.7906,False
t_gap_rf,0.7842,True
ttc_x_speed,0.7827,False
gap_right_front,0.778,False
nash_lc_prob,0.755,False
nash_lk_prob,0.755,False
payoff_lk,0.7544,False
stackelberg_lk_payoff,0.7544,False
speed_ratio,0.7522,True
speed_ratio,0.7522,True
gap_right_back,0.751,False
t_gap_lb,0.7386,True
nash_urgency,0.7383,False
gap_left_front,0.737,False
t_gap_lf,0.7291,True
preceding_vx,0.7261,False
ttc_min5,0.7216,False
ttc_mean5,0.7204,False
gap_left_back,0.7203,False
vos_diff,0.7201,False
abs_lat_speed_max5,0.7188,False
ttc,0.7171,True
ttc,0.7171,True
t_gap_rb,0.7134,True
heading_max5,0.6952,True
lat_speed_std5,0.688,False
heading_std5,0.6667,True
vos_left,0.632,False
stackelberg_nash_gap,0.6268,False
risk_x_gapdiff,0.6224,False
thw,0.5991,True
thw,0.5991,True
lane_pos,0.5975,True
is_rightmost,0.5867,True
vos_right,0.5796,False
ego_speed_std5,0.5704,False
lat_offset_norm,0.5609,True
lat_offset_norm,0.5609,True
is_leftmost,0.5552,True
gap_diff,0.5495,False
dhw,0.5462,False
ego_acc,0.5445,False
lat_drift_norm,0.543,True
vos_ratio,0.5375,True
lat_offset,0.5372,False
lat_drift,0.5356,False
heading_approx,0.5352,True
acc_norm,0.535,True
ttc_slope5,0.5339,False
ego_best_action,0.5336,False
gap_asym,0.5335,True
lat_offset_slope5,0.532,False
lat_speed,0.532,False
lat_acc,0.5312,False
ttc_slope_norm,0.5281,True
speed_ratio_domain,0.5189,True
follower_best_response,0.5183,False
threat_asymmetry,0.5181,False
ego_speed_mean5,0.5168,False
ego_speed,0.5166,False
ego_speed_slope5,0.5146,False
strategic_commitment,0.513,False
speed_slope_norm,0.5094,True
lat_drift_x_vosdiff,0.5089,False
lat_speed_x_gapdiff,0.5023,False
